doc_id,sentence
4,our faith to one love- and one moon adore-
4,"the birth-place of young beauty had no more,"
4,as sprang that yellow star from downy hours
4,"up rose the maiden from her shrine of flowers,"
4,and bent o'er sheeny mountains and dim plain
4,"her way, but left not yet her therasaean reign,"
4,part ii
4,high on a mountain of enamell'd head-
4,such as the drowsy shepherd on his bed
4,"of giant pasturage lying at his ease,"
4,"raising his heavy eyelid, starts and sees"
4,with many a mutter'd hope to be forgiven
4,what time the moon is quadrated in heaven-
4,"of rosy head that, towering far away"
4,"into the sunlit ether, caught the ray"
4,"of sunken suns at eve- at noon of night,"
4,while the moon danc'd with the fair stranger light-
4,uprear'd upon such height arose a pile
4,"of gorgeous columns on th' unburthen'd air,"
4,flashing from parian marble that twin smile
4,"far down upon the wave that sparkled there,"
4,"and nursled the young mountain in its lair,"
4,"of molten stars their pavement, such as fall"
4,"thro' the ebon air, besilvering the pall"
4,"of their own dissolution, while they die-"
4,"adorning then the dwellings of the sky,"
4,"a dome, by linked light from heaven let down,"
4,sat gently on these columns as a crown-
4,"a window of one circular diamond, there,"
4,"look'd out above into the purple air,"
4,and rays from god shot down that meteor chain
4,"and hallow'd all the beauty twice again,"
4,"save, when, between th' empyrean and that ring,"
4,"some eager spirit flapp'd his dusky wing,"
4,but on the pillars seraph eyes have seen
4,"the dimness of this world, that greyish green"
4,that nature loves the best beauty's grave
4,"lurk'd in each cornice, round each architrave-"
4,and every sculptur'd cherub thereabout
4,"that from his marble dwelling peered out,"
4,seem'd earthly in the shadow of his niche-
4,achaian statues in a world so rich!
4,friezes from tadmor and persepolis-
4,"from balbec, and the stilly, clear abyss"
4,"of beautiful gomorrah! o, the wave"
4,is now upon thee- but too late to save!
4,"sound loves to revel in a summer night,"
4,witness the murmur of the grey twilight
4,"that stole upon the ear, in eyraco,"
4,of many a wild star-gazer long ago-
4,that stealeth ever on the ear of him
4,"who, musing, gazeth on the distance dim,"
4,and sees the darkness coming as a cloud-
4,is not its form- its voice- most palpable and loud?
4,"but what is this?- it cometh, and it brings"
4,a music with it- 'tis the rush of wings-
4,"a pause- and then a sweeping, falling strain"
4,"and nesace is in her halls again,"
4,from the wild energy of wanton haste
4,"her cheeks were flushing, and her lips apart;"
4,and zone that clung around her gentle waist
4,"had burst beneath the heaving of her heart,"
4,"within the centre of that hall to breathe,"
4,"she paused and panted, zanthe! all beneath,"
4,the fairy light that kiss'd her golden hair
4,"and long'd to rest, yet could but sparkle there,"
4,young flowers were whispering in melody
4,to happy flowers that night- and tree to tree;
4,fountains were gushing music as they fell
4,"in many a star-lit grove, or moon-lit dell;"
4,yet silence came upon material things-
4,"fair flowers, bright waterfalls and angel wings-"
4,and sound alone that from the spirit sprang
4,"bore burthen to the charm the maiden sang,"
4,'neath the blue-bell or streamer-
4,or tufted wild spray
4,"that keeps, from the dreamer,"
4,the moonbeam away-
4,"bright beings! that ponder,"
4,"with half closing eyes,"
4,on the stars which your wonder
4,"hath drawn from the skies,"
4,"till they glance thro' the shade, and"
4,come down to your brow
4,like- eyes of the maiden
4,who calls on you now-
4,arise! from your dreaming
4,"in violet bowers,"
4,to duty beseeming
4,these star-litten hours-
4,and shake from your tresses
4,encumber'd with dew
4,the breath of those kisses
4,that cumber them too-
4,"o! how, without you, love!"
4,could angels be blest?
4,those kisses of true love
4,that lull'd ye to rest!
4,up!- shake from your wing
4,"each hindering thing,"
4,the dew of the night-
4,it would weigh down your flight
4,and true love caresses-
4,"o, leave them apart!"
4,"they are light on the tresses,"
4,"but lead on the heart,"
4,ligeia! ligeia!
4,my beautiful one!
4,whose harshest idea
4,"will to melody run,"
4,o! is it thy will
4,on the breezes to toss?
4,"or, capriciously still,"
4,"like the lone albatros,"
4,incumbent on night
4,as she on the air
4,to keep watch with delight
4,on the harmony there?
4,ligeia! wherever
4,"thy image may be,"
4,no magic shall sever
4,"thy music from thee,"
4,thou hast bound many eyes
4,in a dreamy sleep-
4,but the strains still arise
4,which thy vigilance keep-
4,"the sound of the rain,"
4,which leaps down to the flower-
4,and dances again
4,in the rhythm of the shower-
4,the murmur that springs
4,from the growing of grass
4,are the music of things-
4,"but are modell'd, alas!-"
4,"away, then, my dearest,"
4,oh! hie thee away
4,to the springs that lie clearest
4,beneath the moon-ray-
4,"to lone lake that smiles,"
4,"in its dream of deep rest,"
4,at the many star-isles
4,that enjewel its breast-
4,"where wild flowers, creeping,"
4,"have mingled their shade,"
4,on its margin is sleeping
4,full many a maid-
4,"some have left the cool glade, and"
4,have slept with the bee-
4,"arouse them, my maiden,"
4,on moorland and lea-
4,"go! breathe on their slumber,"
4,"all softly in ear,"
4,thy musical number
4,they slumbered to hear-
4,for what can awaken
4,"an angel so soon,"
4,whose sleep hath been taken
4,"beneath the cold moon,"
4,as the spell which no slumber
4,"of witchery may test,"
4,the rhythmical number
4,which lull'd him to rest?
4,"spirits in wing, and angels to the view,"
4,"a thousand seraphs burst th' empyrean thro',"
4,young dreams still hovering on their drowsy flight-
4,"seraphs in all but knowledge, the keen light"
4,"that fell, refracted, thro' thy bounds, afar,"
4,"o death! from eye of god upon that star,"
4,sweet was that error- sweeter still that death-
4,sweet was that error- even with us the breath
4,of science dims the mirror of our joy-
4,"to them 'twere the simoom, and would destroy-"
4,for what to them availeth it to know
4,that truth is falsehood- or that bliss is woe?
4,sweet was their death- with them to die was rife
4,with the last ecstasy of satiate life-
4,beyond that death no immortality-
4,but sleep that pondereth and is not to be'!-
4,and there- oh! may my weary spirit dwell-
4,apart from heaven's eternity- and yet how far from hell!
4,"what guilty spirit, in what shrubbery dim,"
4,heard not the stirring summons of that hymn?
4,"but two, they fell, for heaven no grace imparts"
4,"to those who hear not for their beating hearts,"
4,a maiden-angel and her seraph-lover-
4,o! where and ye may seek the wide skies over
4,"was love, the blind, near sober duty known?"
4,"unguided love hath fallen- 'mid tears of perfect moan,"
4,"he was a goodly spirit- he who fell,"
4,a wanderer by moss-y-mantled well-
4,a gazer on the lights that shine above-
4,"a dreamer in the moonbeam by his love,"
4,"what wonder? for each star is eye-like there,"
4,and looks so sweetly down on beauty's hair-
4,"and they, and ev'ry mossy spring were holy"
4,"to his love-haunted heart and melancholy,"
4,the night had found to him a night of woe
4,"upon a mountain crag, young angelo-"
4,"beetling it bends athwart the solemn sky,"
4,"and scowls on starry worlds that down beneath it lie,"
4,here sat he with his love- his dark eye bent
4,"with eagle gaze along the firmament,"
4,now turn'd it upon her- but ever then
4,"it trembled to the orb of earth again,"
4,"ianthe, dearest, see- how dim that ray!"
4,how lovely 'tis to look so far away!
4,she seem'd not thus upon that autumn eve
4,"i left her gorgeous halls- nor mourn'd to leave,"
4,that eve- that eve- i should remember well-
4,"the sun-ray dropp'd in lemnos, with a spell"
4,on th' arabesque carving of a gilded hall
4,"wherein i sate, and on the draperied wall-"
4,and on my eyelids- o the heavy light!
4,how drowsily it weigh'd them into night!
4,"on flowers, before, and mist, and love they ran"
4,"with persian saadi in his gulistan,"
4,"but o that light!- i slumber'd- death, the while,"
4,stole o'er my senses in that lovely isle
4,so softly that no single silken hair
4,"awoke that slept- or knew that he was there,"
4,the last spot of earth's orb i trod upon
4,was a proud temple call'd the parthenon;
4,more beauty clung around her column'd wall
4,"than ev'n thy glowing bosom beats withal,"
4,and when old time my wing did disenthral
4,"thence sprang i- as the eagle from his tower,"
4,"and years i left behind me in an hour,"
4,"what time upon her airy bounds i hung,"
4,one half the garden of her globe was flung
4,unrolling as a chart unto my view-
4,tenantless cities of the desert too!
4,"ianthe, beauty crowded on me then,"
4,"and half i wish'd to be again of men,"
4,my angelo! and why of them to be?
4,a brighter dwelling-place is here for thee-
4,"and greener fields than in yon world above,"
4,"and woman's loveliness- and passionate love,"
4,"but, list, ianthe! when the air so soft"
4,"fail'd, as my pennon'd spirit leapt aloft,"
4,perhaps my brain grew dizzy- but the world
4,i left so late was into chaos hurl'd-
4,"sprang from her station, on the winds apart,"
4,"and roll'd, a flame, the fiery heaven athwart,"
4,"methought, my sweet one, then i ceased to soar"
4,"and fell- not swiftly as i rose before,"
4,"but with a downward, tremulous motion thro'"
4,"light, brazen rays, this golden star unto!"
4,"nor long the measure of my falling hours,"
4,for nearest of all stars was thine to ours-
4,"dread star! that came, amid a night of mirth,"
4,"a red daedalion on the timid earth,"
4,we came- and to thy earth- but not to us
4,"be given our lady's bidding to discuss,"
4,"we came, my love; around, above, below,"
4,"gay fire-fly of the night we come and go,"
4,nor ask a reason save the angel-nod
4,"she grants to us, as granted by her god-"
4,"but, angelo, than thine grey time unfurl'd"
4,never his fairy wing o'er fairier world!
4,"dim was its little disk, and angel eyes"
4,"alone could see the phantom in the skies,"
4,when first al aaraaf knew her course to be
4,headlong thitherward o'er the starry sea-
4,"but when its glory swell'd upon the sky,"
4,"as glowing beauty's bust beneath man's eye,"
4,"we paused before the heritage of men,"
4,and thy star trembled- as doth beauty then!
4,"thus, in discourse, the lovers whiled away"
4,"the night that waned and waned and brought no day,"
4,"they fell, for heaven to them no hope imparts"
4,"who hear not for the beating of their hearts,"
5,from childhood's hour i have not been
5,as others were; i have not seen
5,as others saw; i could not bring
5,"my passions from a common spring,"
5,from the same source i have not taken
5,my sorrow; i could not awaken
5,my heart to joy at the same tone;
5,"and all i loved, i loved alone,"
5,"then- in my childhood, in the dawn"
5,of a most stormy life- was drawn
5,from every depth of good and ill
5,"the mystery which binds me still,"
5,"from the torrent, or the fountain,"
5,"from the red cliff of the mountain,"
5,from the sun that round me rolled
5,"in its autumn tint of gold,"
5,from the lightning in the sky
5,"as it passed me flying by,"
5,"from the thunder and the storm,"
5,and the cloud that took the form
5,when the rest of heaven was blue
5,"of a demon in my view,"
6,elizabeth it is in vain you say
6,"love not — thou sayest it in so sweet a way,"
6,"in vain those words from thee or l, e, l,"
6,"zantippe's talents had enforced so well,"
6,"ah! if that language from thy heart arise,"
6,"breathe it less gently forth — and veil thine eyes,"
6,"endymion, recollect, when luna tried"
6,to cure his love — was cured of all beside —
6,"his folly — pride — and passion — for he died,"
7,"seldom we find, says solomon don dunce,"
7,"half an idea in the profoundest sonnet,"
7,through all the flimsy things we see at once
7,as easily as through a naples bonnet-
7,trash of all trash!- how can a lady don it?
7,yet heavier far than your petrarchan stuff-
7,owl-downy nonsense that the faintest puff
7,"twirls into trunk-paper the while you con it,"
7,"and, veritably, sol is right enough,"
7,the general tuckermanities are arrant
7,bubbles- ephemeral and so transparent-
7,"but this is, now- you may depend upon it-"
7,"stable, opaque, immortal- all by dint"
7,"of the dear names that he concealed within 't,"
8,"it was many and many a year ago,"
8,"in a kingdom by the sea,"
8,that a maiden there lived whom you may know
8,by the name of annabel lee;
8,and this maiden she lived with no other thought
8,"than to love and be loved by me,"
8,"i was a child and she was a child,"
8,in this kingdom by the sea;
8,but we loved with a love that was more than love-
8,i and my annabel lee;
8,with a love that the winged seraphs of heaven
8,"coveted her and me,"
8,"and this was the reason that, long ago,"
8,"in this kingdom by the sea,"
8,"a wind blew out of a cloud, chilling"
8,my beautiful annabel lee;
8,so that her highborn kinsman came
8,"and bore her away from me,"
8,to shut her up in a sepulchre
8,"in this kingdom by the sea,"
8,"the angels, not half so happy in heaven,"
8,went envying her and me-
8,"yes!- that was the reason as all men know,"
8,in this kingdom by the sea
8,"that the wind came out of the cloud by night,"
8,"chilling and killing my annabel lee,"
8,but our love it was stronger by far than the love
8,of those who were older than we-
8,of many far wiser than we-
8,"and neither the angels in heaven above,"
8,"nor the demons down under the sea,"
8,can ever dissever my soul from the soul
8,"of the beautiful annabel lee,"
8,for the moon never beams without bringing me dreams
8,of the beautiful annabel lee;
8,and the stars never rise but i feel the bright eyes
8,of the beautiful annabel lee;
8,"and so, all the night-tide, i lie down by the side"
8,"of my darling- my darling- my life and my bride,"
8,"in the sepulchre there by the sea,"
8,"in her tomb by the sounding sea,"
9,"the ring is on my hand,"
9,and the wreath is on my brow;
9,satin and jewels grand
9,"are all at my command,"
9,"and i am happy now,"
9,and my lord he loves me well;
9,"but, when first he breathed his vow,"
9,i felt my bosom swell-
9,"for the words rang as a knell,"
9,and the voice seemed his who fell
9,"in the battle down the dell,"
9,"and who is happy now,"
9,"but he spoke to re-assure me,"
9,"and he kissed my pallid brow,"
9,"while a reverie came o'er me,"
9,"and to the church-yard bore me,"
9,"and i sighed to him before me,"
9,"thinking him dead d'elormie,"
9,"oh, i am happy now!"
9,"and thus the words were spoken,"
9,"and this the plighted vow,"
9,"and, though my faith be broken,"
9,"and, though my heart be broken,"
9,"here is a ring, as token"
9,that i am happy now!
9,would god i could awaken!
9,for i dream i know not how!
9,and my soul is sorely shaken
9,"lest an evil step be taken,-"
9,lest the dead who is forsaken
9,"may not be happy now,"
10,"by a route obscure and lonely,"
10,"haunted by ill angels only,"
10,"where an eidolon, named night,"
10,"on a black throne reigns upright,"
10,i have reached these lands but newly
10,from an ultimate dim thule-
10,"from a wild clime that lieth, sublime,"
10,"out of space- out of time,"
10,"bottomless vales and boundless floods,"
10,"and chasms, and caves, and titan woods,"
10,with forms that no man can discover
10,for the tears that drip all over;
10,mountains toppling evermore
10,into seas without a shore;
10,"seas that restlessly aspire,"
10,"surging, unto skies of fire;"
10,lakes that endlessly outspread
10,"their lone waters- lone and dead,-"
10,their still waters- still and chilly
10,"with the snows of the lolling lily,"
10,by the lakes that thus outspread
10,"their lone waters, lone and dead,-"
10,"their sad waters, sad and chilly"
10,"with the snows of the lolling lily,-"
10,by the mountains- near the river
10,"murmuring lowly, murmuring ever,-"
10,"by the grey woods,- by the swamp"
10,where the toad and the newt encamp-
10,by the dismal tarns and pools
10,"where dwell the ghouls,-"
10,by each spot the most unholy-
10,in each nook most melancholy-
10,there the traveller meets aghast
10,sheeted memories of the past-
10,shrouded forms that start and sigh
10,as they pass the wanderer by-
10,"white-robed forms of friends long given,"
10,"in agony, to the earth- and heaven,"
10,for the heart whose woes are legion
10,"'tis a peaceful, soothing region-"
10,for the spirit that walks in shadow
10,"'tis- oh, 'tis an eldorado!"
10,"but the traveller, travelling through it,"
10,may not- dare not openly view it!
10,never its mysteries are exposed
10,to the weak human eye unclosed;
10,"so wills its king, who hath forbid"
10,the uplifting of the fringed lid;
10,and thus the sad soul that here passes
10,"beholds it but through darkened glasses,"
10,"by a route obscure and lonely,"
10,"haunted by ill angels only,"
10,"where an eidolon, named night,"
10,"on a black throne reigns upright,"
10,i have wandered home but newly
10,"from this ultimate dim thule,"
11,oh! that my young life were a lasting dream!
11,"my spirit not awakening, till the beam"
11,"of an eternity should bring the morrow,"
11,"yes! tho' that long dream were of hopeless sorrow,"
11,'twere better than the cold reality
11,"of waking life, to him whose heart must be,"
11,"and hath been still, upon the lovely earth,"
11,"a chaos of deep passion, from his birth,"
11,but should it be- that dream eternally
11,continuing- as dreams have been to me
11,"in my young boyhood- should it thus be given,"
11,"'twere folly still to hope for higher heaven,"
11,"for i have revell'd, when the sun was bright"
11,"i' the summer sky, in dreams of living light"
11,"and loveliness,- have left my very heart"
11,"in climes of my imagining, apart"
11,"from mine own home, with beings that have been"
11,of mine own thought- what more could i have seen?
11,'twas once- and only once- and the wild hour
11,from my remembrance shall not pass- some power
11,or spell had bound me- 'twas the chilly wind
11,"came o'er me in the night, and left behind"
11,its image on my spirit- or the moon
11,shone on my slumbers in her lofty noon
11,too coldly- or the stars- howe'er it was
11,"that dream was as that night-wind- let it pass,"
11,"i have been happy, tho' in a dream,"
11,"i have been happy- and i love the theme,"
11,"dreams! in their vivid coloring of life,"
11,"as in that fleeting, shadowy, misty strife"
11,"of semblance with reality, which brings"
11,"to the delirious eye, more lovely things"
11,of paradise and love- and all our own!
11,"than young hope in his sunniest hour hath known,"
12,"gaily bedight,"
12,"a gallant knight,"
12,"in sunshine and in shadow,"
12,"had journeyed long,"
12,"singing a song,"
12,"in search of eldorado,"
12,but he grew old-
12,this knight so bold-
12,and o'er his heart a shadow
12,fell as he found
12,no spot of ground
12,"that looked like eldorado,"
12,"and, as his strength"
12,"failed him at length,"
12,he met a pilgrim shadow-
12,"shadow, said he,"
12,where can it be-
12,this land of eldorado?
12,over the mountains
12,"of the moon,"
12,"down the valley of the shadow,"
12,"ride, boldly ride,"
12,the shade replied-
12,if you seek for eldorado!
13,"elizabeth, it surely is most fit"
13,[logic and common usage so commanding]
13,"in thy own book that first thy name be writ,"
13,zeno and other sages notwithstanding;
13,and i have other reasons for so doing
13,besides my innate love of contradiction;
13,each poet - if a poet - in pursuing
13,"the muses thro' their bowers of truth or fiction,"
13,"has studied very little of his part,"
13,"read nothing, written less - in short's a fool"
13,"endued with neither soul, nor sense, nor art,"
13,"being ignorant of one important rule,"
13,employed in even the theses of the school-
13,called - i forget the heathenish greek name
13,"[called anything, its meaning is the same]"
13,"always write first things uppermost in the heart,"
14,"the noblest name in allegory's page,"
14,the hand that traced inexorable rage;
14,"a pleasing moralist whose page refined,"
14,displays the deepest knowledge of the mind;
14,"a tender poet of a foreign tongue,"
14,"indited in the language that he sung,"
14,a bard of brilliant but unlicensed page
14,"at once the shame and glory of our age,"
14,"the prince of harmony and stirling sense,"
14,"the ancient dramatist of eminence,"
14,"the bard that paints imagination's powers,"
14,"and him whose song revives departed hours,"
14,"once more an ancient tragic bard recall,"
14,"in boldness of design surpassing all,"
14,"these names when rightly read, a name [make] known"
14,"which gathers all their glories in its own,"
15,"i'll tell you a plan for gaining wealth,"
15,"better than banking, trade or leases —"
15,"take a bank note and fold it up,"
15,and then you will find your money in creases!
15,"this wonderful plan, without danger or loss,"
15,"keeps your cash in your hands, where nothing can trouble it;"
15,"and every time that you fold it across,"
15,'tis as plain as the light of the day that you double it!
16,i dwelt alone
16,"in a world of moan,"
16,"and my soul was a stagnant tide,"
16,till the fair and gentle eulalie became my blushing bride-
16,"till the yellow-haired young eulalie became my smiling bride,"
16,"ah, less- less bright"
16,the stars of the night
16,than the eyes of the radiant girl!
16,that the vapor can make
16,"with the moon-tints of purple and pearl,"
16,can vie with the modest eulalie's most unregarded curl-
16,can compare with the bright-eyed eulalie's most humble and careless
16,"curl,"
16,now doubt- now pain
16,"come never again,"
16,"for her soul gives me sigh for sigh,"
16,and all day long
16,"shines, bright and strong,"
16,"astarte within the sky,"
16,while ever to her dear eulalie upturns her matron eye-
16,"while ever to her young eulalie upturns her violet eye,"
17,"eureka,"
17,an essay on the material and spiritual universe
17,"it is with humility really unassumed -–it is with a sentiment even of awe -–that i pen the opening sentence of this work, for of all conceivable subjects i approach the reader with the most solemn -–the most comprehensive -–the most difficult -–the most august,"
17,what terms shall i find sufficiently simple in their sublimity -- sufficiently sublime in their simplicity -–for the mere enunciation of my theme?
17,"i design to speak of the physical, metaphysical and mathematical -- of the material and spiritual universe,–of its essence, its origin, its creation, its present condition and its destiny, i shall be so rash, moreover, as to challange the conclusions, and thus, in effect, to question the sagacity, of many of the greatest and most justly reverenced of men,"
17,"in the beginning, let me as distinctly as possible announce -–not the theorem which i hope to demonstrate -–for, whatever the mathematicians may assert, there is, in this world at least, no such thing as demonstration -–but the ruling idea which, throughout this volume, i shall be continually endeavoring to suggest,"
17,"my general proposition, then, is this, -–in the original unity of the first thing lies the secondary cause of all things, with the germ of their inevitable annihilation,"
17,"in illustration of this idea, i propose to take such a survey of the universe that the mind may be able really to receive and to perceive an individual impression,"
